data,trip_creation_time,route_schedule_uuid,route_type,trip_uuid,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,is_cutoff,cutoff_factor,cutoff_timestamp,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance,segment_factor,case_company,order_id,order_date,shipment_date,expected_delivery_timestamp,delivery_date,delivery_status,delayed_flag,delay_minutes,product_category,seller_id,customer_city,customer_state,order_value_inr,freight_value_inr,transport_mode,carrier,route_id,hub_id,vehicle_type,vehicle_capacity_kg,shipment_weight_kg,load_utilization_pct,number_of_stops,planned_transit_time_hours,actual_transit_time_hours,time_deviation_minutes,time_deviation_pct,distance_deviation_pct,route_efficiency_pct,weekend_flag,holiday_flag,peak_season_flag,traffic_level,weather_condition,hub_workload_pct,dispatch_delay_minutes,processing_time_minutes,fuel_efficiency_km_per_l,fuel_consumption_l,fuel_cost_inr,toll_cost_inr,transportation_cost_inr,estimated_delay_cost_inr,estimated_co2_kg,co2_per_km_kg,co2_per_order_kg,data_provenance
test,2018-09-29 00:41:37.726771,thanos::sroute:db0f8027-8ade-4411-9aff-b26adaae3993,Carting,trip-153818169772651050,IND785690AAB,Sonari_Central_DPP_1 (Assam),IND785682AAA,Sivasagar_Babupaty_D (Assam),2018-09-29 04:09:50.737900,2018-09-29 07:26:31.904261,196.0,False,38,2018-09-29 04:39:55,38.836218624880864,141.0,34.0,46.2565,4.147058823529412,6.0,1.0,2.2074000000000003,6.0,Delhivery,DLV-WAI-00001,2018-09-29,2018-09-29,2018-09-29 05:43:50,2018-09-29,Delayed,1,47.0,Apparel,SELLER-044,Sivasagar_Babupaty_D,Assam,1381.13,167.9,Road,Delhivery,IND785690AAB_IND785682AAA,IND785690AAB,LCV,2500,1686.2,62.69,3,1.567,2.35,107.0,314.71,-16.04,24.11,1,0,0,Medium,Clear,82.24,18.83,58.32,7.26,5.414,513.68,41.25,929.16,411.68,14.51,0.36904,14.51,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
test,2018-10-02 01:58:12.501510,thanos::sroute:105d3425-e2d7-4f05-ad0c-157dc9410864,FTL,trip-153844549250126648,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),2018-10-02 01:58:12.501510,2018-10-04 01:40:54.120757,2862.0,True,1430,2018-10-02 11:56:16,1433.0009473595244,2264.0,1357.0,1869.5457,1.6683861459100957,23.0,17.0,23.056099999999997,1.3529411764705883,Delhivery,DLV-WAI-00012,2018-10-02,2018-10-02,2018-10-03 01:35:12,2018-10-03,Delayed,1,847.0,Electronics,SELLER-076,Gurgaon_Bilaspur_HB,Haryana,1990.94,5672.12,Road,Delhivery,IND562132AAA_IND000000ACB,IND562132AAA,Truck,12000,7850.8,57.97,23,23.617,37.733,907.0,66.84,-23.35,59.94,0,0,1,Medium,Cloudy,86.52,148.96,598.27,4.41,360.316,32610.86,2594.17,39819.8,1849.18,965.647,0.60766,965.647,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-15 00:31:03.738891,thanos::sroute:fb308c0f-ea3a-48ef-a6c3-47763412a90f,FTL,trip-153697146373863851,IND206001AAA,Etawah_MhraChng_D (Uttar Pradesh),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),2018-09-16 03:07:28.338993,2018-09-16 10:37:31.726374,450.0,True,44,2018-09-16 09:26:31,48.32565714609119,68.0,45.0,53.5185,1.511111111111111,27.0,20.0,26.6218,1.35,Delhivery,DLV-WAI-00013,2018-09-15,2018-09-16,2018-09-16 04:52:28,2018-09-16,On Time,0,0.0,Apparel,SELLER-050,Gurgaon_Bilaspur_HB,Haryana,2026.62,237.1,Road,Delhivery,IND206001AAA_IND000000ACB,IND206001AAA,Heavy Truck,20000,4245.8,35,2,1.75,1.133,23.0,51.11,-9.7,66.18,1,0,0,Medium,Cloudy,75.92,15.78,388.36,3.5,13.807,1312.24,66.75,1809.82,230.34,37.004,0.76571,37.004,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-25 20:28:10.780602,thanos::sroute:ecfbf6c4-a39e-45e6-926f-d5d01605f680,Carting,trip-153790729078035760,IND600032AAB,Chennai_Hub (Tamil Nadu),IND600076AAB,Chennai_Madhavaram_DPC (Tamil Nadu),2018-09-25 20:28:10.780602,2018-09-25 21:57:56.164480,89.0,False,14,2018-09-25 21:29:18,14.397416108649832,23.0,16.0,16.799,1.4375,5.0,5.0,5.3344,1.0,Delhivery,DLV-WAI-00014,2018-09-25,2018-09-25,2018-09-25 21:44:10,2018-09-25,On Time,0,0.0,Other,SELLER-088,Chennai_Madhavaram_DPC,Tamil Nadu,3427.84,130.33,Road,Delhivery,IND600032AAB_IND600076AAB,IND600032AAB,LCV,2500,1410.7,56.18,2,1.267,0.383,7.0,43.75,-14.3,69.57,0,0,0,Medium,Rain,76.1,11.97,66.48,7.38,1.95,176.44,16.98,494.39,230.16,5.225,0.36294,5.225,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-20 20:37:26.091420,thanos::sroute:a3414a57-5b1f-4cc0-bf8e-1a46456c9f53,FTL,trip-153747584609116283,IND416012AAA,Kolhapur_Shivaji_I (Maharashtra),IND395023AAA,Surat_HUB (Gujarat),2018-09-21 14:39:51.293454,2018-09-22 06:33:59.495663,954.0,True,330,2018-09-21 19:40:05,330.59008959345584,640.0,326.0,425.13559999999995,1.9631901840490797,26.0,22.0,24.4101,1.1818181818181819,Delhivery,DLV-WAI-00015,2018-09-20,2018-09-21,2018-09-21 21:05:51,2018-09-22,Delayed,1,254.0,Apparel,SELLER-149,Surat_HUB,Gujarat,1160.79,1239.62,Road,Delhivery,IND416012AAA_IND395023AAA,IND416012AAA,Truck,12000,5837.9,46.81,7,6.433,10.667,314.0,96.32,-22.24,50.94,0,0,0,Medium,Clear,70.97,58.49,316.75,4.5,80.303,7694.04,507.58,10136.63,866.92,215.213,0.59556,215.213,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-22 02:36:07.998153,thanos::sroute:36e03af9-d94b-4282-9fc0-7bd167119914,FTL,trip-153758376799785861,IND608001AAA,Chidambaram_ARBNorth_DC (Tamil Nadu),IND609110AAA,Sirkazhi_Pngktgudi_D (Tamil Nadu),2018-09-22 05:34:34.241897,2018-09-22 06:21:12.926756,46.0,False,19,2018-09-22 05:49:40,19.995093109198784,31.0,16.0,21.2718,1.9375,31.0,16.0,21.2718,1.9375,Delhivery,DLV-WAI-00016,2018-09-22,2018-09-22,2018-09-22 06:50:34,2018-09-22,On Time,0,0.0,Grocery,SELLER-048,Sirkazhi_Pngktgudi_D,Tamil Nadu,675.46,212.42,Road,Delhivery,IND608001AAA_IND609110AAA,IND608001AAA,Heavy Truck,20000,11009.3,51.93,1,1.267,0.517,15.0,93.75,-6.0,51.61,1,0,0,Medium,Cloudy,76.44,5.17,15.03,3.48,5.741,515.42,19.06,939.11,210.89,15.385,0.76943,15.385,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
test,2018-09-30 07:00:34.474906,thanos::sroute:918d3f88-371e-4cc6-b080-6f9c92efa784,Carting,trip-153829083447465759,IND122001AAA,GGN_DPC (Haryana),IND122050AAA,Gurgaon_Manesar (Haryana),2018-09-30 07:00:34.474906,2018-09-30 11:24:25.477520,263.0,True,9,2018-09-30 08:02:30,9.025482911238656,99.0,18.0,14.950299999999999,5.5,99.0,18.0,14.950299999999999,5.5,Delhivery,DLV-WAI-00017,2018-09-30,2018-09-30,2018-09-30 08:18:34,2018-09-30,Delayed,1,21.0,Apparel,SELLER-026,Gurgaon_Manesar,Haryana,3275.66,111.9,Road,Delhivery,IND122001AAA_IND122050AAA,IND122001AAA,LCV,2500,964.6,39.91,2,1.3,1.65,81.0,450.0,-39.63,18.18,1,0,0,Medium,Clear,76.21,30.39,170.12,7.5,1.694,149.7,9.31,393.38,435.75,4.541,0.35733,4.541,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
test,2018-09-29 17:53:03.807396,thanos::sroute:e807a3e4-2298-4b5a-99f4-4e42ae62a173,FTL,trip-153824358380714077,IND124103AAA,Jhajjar_DC (Haryana),IND127021AAA,Bhiwani_DC (Haryana),2018-09-29 21:40:09.444437,2018-09-29 23:30:55.554778,110.0,True,22,2018-09-29 22:38:31,24.342380782129727,41.0,18.0,26.251900000000003,2.2777777777777777,41.0,18.0,26.251900000000003,2.2777777777777777,Delhivery,DLV-WAI-00018,2018-09-29,2018-09-29,2018-09-29 22:58:09,2018-09-29,On Time,0,0.0,Sports & Fitness,SELLER-049,Bhiwani_DC,Haryana,2856.87,215.54,Road,Delhivery,IND124103AAA_IND127021AAA,IND124103AAA,Trailer,30000,7176.2,35,2,1.3,0.683,23.0,127.78,-7.27,43.9,1,0,0,Low,Clear,55.99,16.76,71.98,2.8,8.694,776.96,31.15,1224.51,248.72,23.299,0.95714,23.299,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-26 13:51:58.998907,thanos::sroute:3def24ea-f80d-4d49-b450-720dc5d13d04,FTL,trip-153796991899852276,IND395023AAA,Surat_HUB (Gujarat),IND110037AAM,Delhi_Airport_H (Delhi),2018-09-26 13:51:58.998907,2018-09-27 23:37:52.909298,2025.0,True,902,2018-09-26 21:44:11,902.9533760485257,1482.0,809.0,1075.8559,1.8318912237330036,24.0,15.0,21.4786,1.6,Delhivery,DLV-WAI-00019,2018-09-26,2018-09-26,2018-09-27 04:20:58,2018-09-27,Delayed,1,613.0,Apparel,SELLER-021,Delhi_Airport_H,Delhi,2730.27,2083.3,Road,Delhivery,IND395023AAA_IND110037AAM,IND395023AAA,Heavy Truck,20000,12026.6,57.5,14,14.483,24.7,673.0,83.19,-16.07,54.59,0,0,0,High,Rain,81.99,106.32,549.84,3.43,266.272,24058.62,789.58,28839.93,1444.87,713.61,0.78035,713.61,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-20 19:44:01.124274,thanos::sroute:d623457b-692f-4c0c-bcab-45955f173aed,FTL,trip-153747264112390405,IND521201AAA,Nuzvid_Ward17_D (Andhra Pradesh),IND521105AAA,HanumanJNC_VijywdRD_D (Andhra Pradesh),2018-09-21 01:08:38.077687,2018-09-21 01:52:19.262918,43.0,False,21,2018-09-21 01:15:19,21.11412829197423,32.0,22.0,23.0838,1.4545454545454546,32.0,22.0,23.0838,1.4545454545454546,Delhivery,DLV-WAI-00020,2018-09-20,2018-09-21,2018-09-21 02:30:38,2018-09-21,On Time,0,0.0,Home & Kitchen,SELLER-054,HanumanJNC_VijywdRD_D,Andhra Pradesh,6224.36,196.14,Road,Delhivery,IND521201AAA_IND521105AAA,IND521201AAA,Trailer,30000,16490.3,57.92,1,1.367,0.533,10.0,45.45,-8.53,68.75,0,0,0,Medium,Rain,65.18,7.8,12.43,2.74,7.693,720.83,26.98,1189.67,271.27,20.617,0.97647,20.617,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-12 00:00:33.691250,thanos::sroute:de5e208e-7641-45e6-8100-4d9fb1e5720d,FTL,trip-153671043369099517,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),2018-09-12 00:00:33.691250,2018-09-14 03:40:17.106733,3099.0,True,396,2018-09-13 13:31:02,403.3366485045343,719.0,436.0,577.6414,1.6490825688073394,35.0,24.0,34.6776,1.4583333333333333,Delhivery,DLV-WAI-00021,2018-09-12,2018-09-12,2018-09-12 08:16:33,2018-09-12,Delayed,1,223.0,Apparel,SELLER-111,Gurgaon_Bilaspur_HB,Haryana,2265.55,1063.33,Road,Delhivery,IND562132AAA_IND000000ACB,IND562132AAA,Truck,12000,5326.2,44.8,10,8.267,11.983,283.0,64.91,-30.18,60.64,0,0,0,High,Cloudy,87.47,62.47,2382.04,4.5,109.11,9675.67,749.64,12663.74,680.84,292.415,0.59556,292.415,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
test,2018-10-03 22:28:20.454881,thanos::sroute:870bead8-6c8a-458f-b4d8-658de44bc675,FTL,trip-153860570045461434,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND834002AAB,Ranchi_Hub (Jharkhand),2018-10-03 22:28:20.454881,2018-10-05 08:39:47.996375,2051.0,True,286,2018-10-04 22:38:48,286.8296976021834,588.0,259.0,366.7144,2.27027027027027,33.0,17.0,24.9008,1.9411764705882353,Delhivery,DLV-WAI-00022,2018-10-03,2018-10-03,2018-10-04 03:47:20,2018-10-04,Delayed,1,269.0,Books,SELLER-071,Ranchi_Hub,Jharkhand,1405.61,963.17,Road,Delhivery,IND000000ACB_IND834002AAB,IND000000ACB,Heavy Truck,20000,7121.3,35,8,5.317,9.8,329.0,127.03,-21.78,44.05,0,0,1,Medium,Clear,78.89,62.96,1469.74,3.5,89.059,8202.56,438.89,10038.6,929.59,238.679,0.76571,238.679,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
